Point,WF (mV),WFRA (mV),WFDel (mV),Std WF,GD (au),Std GD,Z Height (um),User,Time(Secs),,
0,-184.4,-184.4,0.0,0.0,299.2,0.0,0.00,1.3,0.000,,
1,-182.9,-183.7,1.5,0.0,299.1,0.0,0.00,0.9,0.578,,
2,-182.6,-183.6,1.8,0.0,299.1,0.0,0.00,1.0,1.139,,
3,-182.7,-182.7,1.7,1.0,299.0,0.0,0.00,1.0,1.701,,
4,-182.9,-182.7,1.5,0.8,299.1,0.1,0.00,0.5,2.262,,
5,-181.7,-182.4,2.7,0.7,298.9,0.1,0.00,0.9,2.824,,
6,-180.7,-181.8,3.7,0.9,298.9,0.1,0.00,1.0,3.370,,
7,-183.7,-182.0,0.7,1.1,299.1,0.1,0.00,0.1,3.932,,
8,-181.5,-181.9,2.9,1.1,298.9,0.1,0.00,0.8,4.493,,
9,-183.8,-183.0,0.6,1.1,298.8,0.1,0.00,1.0,5.055,,
10,-185.0,-183.4,-0.6,1.1,298.9,0.1,0.00,-0.7,5.601,,
11,-185.4,-184.8,-1.0,1.3,299.1,0.1,0.00,0.7,6.162,,
12,-182.4,-184.3,2.0,1.4,299.1,0.1,0.00,1.0,6.708,,
13,-186.0,-184.6,-1.6,1.4,299.0,0.1,0.00,1.1,7.286,,
14,-182.9,-183.8,1.5,1.5,299.1,0.1,0.00,1.0,7.863,,
15,-182.8,-183.9,1.6,1.5,298.9,0.1,0.00,1.0,8.440,,
16,-181.1,-182.2,3.3,1.4,298.8,0.1,0.00,-0.9,9.002,,
17,-173.0,-178.9,11.4,1.5,299.1,0.1,0.00,1.0,9.548,,
18,-188.6,-180.9,-4.2,2.8,299.3,0.1,0.00,1.0,10.109,,
19,-182.7,-181.4,1.7,3.1,299.0,0.1,0.00,1.0,10.686,,
20,-186.0,-185.8,-1.7,3.0,299.4,0.1,0.00,0.4,11.232,,
21,-179.7,-182.8,4.7,3.0,298.9,0.1,0.00,1.0,11.778,,
22,-183.7,-183.2,0.7,3.0,299.0,0.1,0.00,1.0,12.356,,
23,-187.3,-183.6,-2.9,2.9,298.9,0.1,0.00,0.2,12.902,,
24,-180.4,-183.8,4.0,3.0,299.0,0.1,0.00,0.9,13.448,,
25,-183.2,-183.6,1.2,3.0,299.0,0.1,0.00,-0.9,13.978,,
26,-183.1,-182.2,1.3,2.9,299.1,0.1,0.00,1.0,14.540,,
27,-181.6,-182.7,2.7,2.9,299.1,0.1,0.00,1.0,15.117,,
28,-180.8,-181.9,3.6,2.8,299.1,0.1,0.00,1.0,15.678,,
29,-186.9,-183.1,-2.5,2.8,298.9,0.1,0.00,1.0,16.256,,
30,-180.9,-182.9,3.5,2.9,299.0,0.1,0.00,1.1,16.833,,
31,-180.0,-182.6,4.4,2.8,298.9,0.1,0.00,1.0,17.410,,
32,-178.0,-179.6,6.4,2.8,299.2,0.1,0.00,1.1,17.972,,
33,-181.4,-179.8,3.0,2.9,299.0,0.1,0.00,0.6,18.533,,
34,-182.1,-180.5,2.2,2.9,299.1,0.1,0.00,0.9,19.095,,
35,-188.0,-183.9,-3.6,2.8,298.7,0.1,0.00,1.0,19.672,,
36,-184.9,-185.0,-0.5,2.9,298.7,0.1,0.00,1.0,20.234,,
37,-183.1,-185.4,1.3,2.9,298.7,0.1,0.00,1.0,20.811,,
38,-186.8,-184.9,-2.4,2.9,299.0,0.2,0.00,1.0,21.388,,
39,-180.4,-183.4,4.0,2.9,299.0,0.2,0.00,1.1,21.965,,
40,-185.6,-184.3,-1.2,2.9,298.9,0.1,0.00,1.0,22.527,,
41,-186.5,-184.2,-2.1,2.9,298.7,0.1,0.00,0.7,23.088,,
42,-183.9,-185.3,0.5,2.9,298.7,0.2,0.00,0.9,23.650,,
43,-181.2,-183.9,3.2,2.9,298.9,0.2,0.00,1.0,24.212,,
44,-182.6,-182.6,1.8,2.9,298.8,0.2,0.00,0.5,24.758,,
45,-178.8,-180.8,5.6,2.8,298.7,0.2,0.00,0.9,25.319,,
46,-180.5,-180.6,3.9,2.9,298.8,0.2,0.00,0.9,25.896,,
47,-180.0,-179.7,4.4,2.8,298.9,0.2,0.00,0.9,26.474,,
48,-179.4,-180.0,4.9,2.8,298.9,0.2,0.00,1.0,27.051,,
49,-181.0,-180.1,3.4,2.9,298.9,0.2,0.00,1.0,27.628,,
50,-184.0,-181.5,0.4,2.8,299.0,0.2,0.00,1.0,28.205,,
51,-188.7,-184.6,-4.3,2.8,298.8,0.2,0.00,1.0,28.767,,
52,-177.9,-183.5,6.5,2.9,299.0,0.2,0.00,1.0,29.344,,
