Point,CPD (mV),WFRA (mV),WFDel (mV),Std WF,GD (au),Std GD,Z Height (um),User,Time(Secs),,
0,-38.9,-38.9,0.0,0.0,286.6,0.0,0.00,1.4,0.000,,
1,-37.4,-38.1,1.4,0.0,286.7,0.0,0.00,1.4,0.421,,
2,-39.4,-38.8,-0.5,0.0,286.9,0.0,0.00,0.7,0.842,,
3,-36.4,-37.7,2.5,1.0,286.5,0.1,0.00,1.3,1.248,,
4,-41.0,-38.9,-2.1,1.4,286.7,0.2,0.00,1.3,1.653,,
5,-37.2,-38.2,1.6,1.8,286.9,0.1,0.00,0.5,2.074,,
6,-38.5,-38.9,0.4,1.7,286.8,0.1,0.00,1.2,2.480,,
7,-39.4,-38.4,-0.5,1.5,286.8,0.1,0.00,1.4,2.886,,
8,-39.7,-39.2,-0.9,1.5,286.8,0.1,0.00,0.2,3.307,,
9,-44.3,-41.1,-5.5,1.4,286.9,0.1,0.00,0.9,3.728,,
10,-38.1,-40.7,0.8,2.2,287.0,0.1,0.00,1.3,4.134,,
11,-38.9,-40.4,0.0,2.2,286.7,0.1,0.00,-0.2,4.539,,
12,-33.0,-36.6,5.9,2.1,286.8,0.1,0.00,0.8,4.960,,
13,-38.8,-36.9,0.0,2.6,286.8,0.1,0.00,1.3,5.366,,
14,-38.5,-36.8,0.4,2.5,287.0,0.1,0.00,1.4,5.772,,
15,-37.4,-38.2,1.4,2.4,286.8,0.1,0.00,0.6,6.193,,
16,-38.5,-38.1,0.4,2.3,286.9,0.1,0.00,1.3,6.598,,
17,-42.0,-39.3,-3.2,2.3,286.8,0.1,0.00,1.3,7.004,,
18,-34.4,-38.3,4.5,2.3,286.9,0.1,0.00,0.4,7.425,,
19,-35.6,-37.4,3.2,2.5,286.9,0.1,0.00,1.3,7.831,,
20,-39.2,-36.4,-0.3,2.5,286.7,0.1,0.00,1.3,8.236,,
21,-38.8,-37.9,0.0,2.5,286.9,0.1,0.00,0.2,8.658,,
22,-42.4,-40.1,-3.5,2.4,286.8,0.1,0.00,0.9,9.079,,
23,-37.1,-39.4,1.8,2.5,286.8,0.1,0.00,1.2,9.500,,
24,-39.9,-39.8,-1.0,2.4,287.1,0.1,0.00,1.3,9.906,,
25,-39.0,-38.6,-0.2,2.4,286.8,0.1,0.00,0.9,10.311,,
26,-39.0,-39.3,-0.2,2.4,286.7,0.1,0.00,1.3,10.717,,
27,-42.2,-40.1,-3.3,2.3,287.0,0.1,0.00,1.3,11.122,,
28,-39.9,-40.4,-1.0,2.4,286.8,0.1,0.00,0.7,11.544,,
29,-37.8,-39.9,1.1,2.3,286.9,0.1,0.00,1.3,11.949,,
30,-38.3,-38.7,0.6,2.3,286.8,0.1,0.00,1.4,12.355,,
31,-38.3,-38.1,0.6,2.3,286.9,0.1,0.00,0.6,12.776,,
32,-35.5,-37.4,3.4,2.2,286.7,0.1,0.00,1.3,13.182,,
33,-38.5,-37.4,0.4,2.3,286.8,0.1,0.00,1.4,13.587,,
34,-34.4,-36.1,4.5,2.2,286.8,0.1,0.00,0.4,14.008,,
35,-36.3,-36.4,2.5,2.3,286.9,0.1,0.00,1.2,14.414,,
36,-38.3,-36.4,0.6,2.3,286.9,0.1,0.00,1.3,14.820,,
37,-38.3,-37.6,0.6,2.3,286.9,0.1,0.00,0.2,15.272,,
38,-42.2,-39.6,-3.3,2.2,286.9,0.1,0.00,-0.5,15.678,,
39,-41.5,-40.7,-2.6,2.3,286.8,0.1,0.00,0.8,16.099,,
40,-38.1,-40.6,0.7,2.3,286.7,0.1,0.00,1.3,16.504,,
41,-36.7,-38.8,2.2,2.3,286.8,0.1,0.00,1.3,16.910,,
42,-40.6,-38.5,-1.7,2.3,286.8,0.1,0.00,0.6,17.331,,
43,-38.1,-38.5,0.7,2.3,286.7,0.1,0.00,1.3,17.737,,
44,-36.5,-38.4,2.3,2.2,286.9,0.1,0.00,1.3,18.142,,
45,-37.2,-37.3,1.6,2.2,286.8,0.1,0.00,0.4,18.564,,
46,-41.7,-38.5,-2.8,2.2,286.8,0.1,0.00,1.3,18.969,,
47,-40.4,-39.8,-1.6,2.2,287.0,0.1,0.00,1.3,19.375,,
48,-38.7,-40.2,0.2,2.2,286.8,0.1,0.00,0.3,19.796,,
49,-45.3,-41.4,-6.4,2.2,286.6,0.1,0.00,1.0,20.217,,
50,-35.7,-39.9,3.2,2.4,286.7,0.1,0.00,1.3,20.623,,
51,-37.4,-39.4,1.4,2.4,286.8,0.1,0.00,0.0,21.028,,
52,-42.1,-38.4,-3.2,2.4,286.6,0.1,0.00,0.9,21.450,,
53,-32.3,-37.3,6.6,2.4,286.8,0.1,0.00,1.3,21.855,,
54,-35.6,-36.7,3.2,2.5,286.8,0.1,0.00,-0.5,22.261,,
55,-41.3,-36.4,-2.5,2.5,286.8,0.1,0.00,0.8,22.682,,
56,-34.9,-37.3,3.9,2.6,286.7,0.1,0.00,1.3,23.088,,
57,-34.6,-37.0,4.3,2.6,286.7,0.1,0.00,1.3,23.493,,
58,-40.6,-36.7,-1.7,2.6,286.8,0.1,0.00,0.6,23.914,,
59,-39.2,-38.1,-0.3,2.6,286.8,0.1,0.00,1.3,24.320,,
60,-41.7,-40.5,-2.8,2.6,286.7,0.1,0.00,1.3,24.726,,
61,-37.1,-39.3,1.8,2.6,286.7,0.1,0.00,0.4,25.147,,
62,-37.8,-38.8,1.1,2.6,286.9,0.1,0.00,1.2,25.552,,
63,-41.3,-38.7,-2.5,2.6,286.6,0.1,0.00,1.3,25.958,,
64,-38.6,-39.2,0.2,2.6,287.0,0.1,0.00,1.1,26.364,,
65,-43.4,-41.1,-4.6,2.5,286.8,0.1,0.00,1.2,26.785,,
66,-37.4,-39.8,1.5,2.6,286.9,0.1,0.00,1.3,27.190,,
67,-36.0,-39.0,2.8,2.6,286.6,0.1,0.00,1.0,27.596,,
68,-41.9,-38.4,-3.0,2.6,286.7,0.1,0.00,1.3,28.002,,
69,-37.8,-38.6,1.1,2.6,286.6,0.1,0.00,-0.5,28.407,,
70,-40.3,-40.0,-1.4,2.6,286.7,0.1,0.00,0.8,28.828,,
71,-41.5,-39.9,-2.6,2.6,286.8,0.1,0.00,1.3,29.234,,
72,-38.0,-39.9,0.9,2.6,286.8,0.1,0.00,1.3,29.640,,
73,-40.1,-39.9,-1.2,2.5,286.6,0.1,0.00,0.7,30.061,,
74,-41.3,-39.8,-2.5,2.5,286.8,0.1,0.00,1.3,30.466,,
75,-36.7,-39.4,2.2,2.5,286.8,0.1,0.00,1.3,30.872,,
76,-36.7,-38.2,2.2,2.5,286.8,0.1,0.00,0.5,31.293,,
77,-39.9,-37.8,-1.0,2.5,286.8,0.1,0.00,1.1,31.714,,
78,-38.9,-38.5,0.0,2.5,286.7,0.1,0.00,1.3,32.120,,
79,-38.8,-39.2,0.0,2.5,286.7,0.1,0.00,0.2,32.526,,
80,-36.7,-38.1,2.2,2.5,286.8,0.1,0.00,0.9,32.947,,
81,-45.4,-40.3,-6.5,2.5,286.8,0.1,0.00,1.3,33.368,,
82,-39.7,-40.6,-0.9,2.6,286.8,0.1,0.00,1.3,33.774,,
83,-38.0,-41.0,0.9,2.6,286.6,0.1,0.00,1.3,34.195,,
84,-41.2,-39.6,-2.3,2.5,286.7,0.1,0.00,0.8,34.616,,
85,-35.8,-38.3,3.0,2.5,286.7,0.1,0.00,1.2,35.022,,
86,-37.8,-38.3,1.1,2.5,286.8,0.1,0.00,1.4,35.427,,
87,-41.7,-38.4,-2.8,2.5,286.8,0.1,0.00,0.6,35.848,,
88,-43.0,-40.8,-4.1,2.5,286.6,0.1,0.00,1.2,36.254,,
89,-38.8,-41.2,0.0,2.6,286.7,0.1,0.00,1.3,36.675,,
90,-38.2,-40.0,0.7,2.5,286.6,0.1,0.00,1.4,37.096,,
91,-40.5,-39.2,-1.6,2.5,286.5,0.1,0.00,1.3,37.486,,
92,-35.1,-37.9,3.7,2.5,286.6,0.1,0.00,1.3,37.892,,
93,-42.6,-39.4,-3.7,2.5,286.5,0.1,0.00,1.1,38.298,,
94,-39.0,-38.9,-0.2,2.6,286.7,0.1,0.00,1.3,38.703,,
95,-38.0,-39.9,0.9,2.5,286.4,0.1,0.00,1.3,39.124,,
96,-36.1,-37.7,2.8,2.5,286.4,0.1,0.00,1.1,39.530,,
97,-41.0,-38.3,-2.1,2.5,286.8,0.1,0.00,1.1,39.951,,
98,-42.6,-39.9,-3.8,2.5,286.4,0.1,0.00,1.3,40.357,,
99,-41.3,-41.6,-2.5,2.5,286.7,0.1,0.00,0.7,40.762,,
100,-37.2,-40.4,1.6,2.5,286.8,0.1,0.00,1.3,41.168,,
101,-40.8,-39.8,-2.0,2.5,286.5,0.1,0.00,1.3,41.589,,
102,-39.4,-39.2,-0.5,2.5,286.5,0.1,0.00,0.5,41.995,,
103,-35.9,-38.7,3.0,2.5,286.5,0.1,0.00,1.2,42.400,,
104,-42.3,-39.2,-3.4,2.5,286.5,0.1,0.00,1.3,42.806,,
105,-38.2,-38.8,0.7,2.5,286.6,0.1,0.00,0.6,43.227,,
106,-41.4,-40.6,-2.5,2.5,286.5,0.1,0.00,0.9,43.648,,
107,-40.6,-40.1,-1.8,2.5,286.6,0.1,0.00,1.3,44.054,,
108,-38.9,-40.3,0.0,2.5,286.7,0.1,0.00,0.1,44.460,,
109,-35.3,-38.3,3.5,2.5,286.4,0.1,0.00,1.0,44.881,,
110,-40.1,-38.1,-1.2,2.5,286.7,0.1,0.00,1.2,45.286,,
111,-34.4,-36.6,4.4,2.5,286.7,0.1,0.00,1.3,45.708,,
112,-39.2,-37.9,-0.3,2.5,286.7,0.1,0.00,0.9,46.113,,
113,-37.1,-36.9,1.8,2.5,286.6,0.1,0.00,1.3,46.519,,
114,-41.2,-39.2,-2.3,2.5,286.7,0.1,0.00,1.4,46.940,,
115,-39.2,-39.2,-0.4,2.5,286.6,0.1,0.00,0.8,47.346,,
116,-42.4,-40.9,-3.6,2.5,286.6,0.1,0.00,1.3,47.751,,
117,-38.0,-39.9,0.9,2.5,286.6,0.1,0.00,1.4,48.157,,
118,-36.9,-39.1,2.0,2.5,286.7,0.1,0.00,0.6,48.578,,
119,-41.3,-38.7,-2.5,2.5,286.7,0.1,0.00,1.3,48.984,,
120,-34.8,-37.7,4.1,2.5,286.6,0.1,0.00,1.3,49.405,,
121,-38.2,-38.1,0.7,2.5,286.5,0.1,0.00,0.1,49.810,,
122,-38.3,-37.1,0.5,2.5,286.5,0.1,0.00,0.9,50.232,,
123,-38.0,-38.2,0.9,2.5,286.6,0.1,0.00,1.3,50.637,,
124,-41.3,-39.2,-2.5,2.5,286.7,0.1,0.00,1.3,51.058,,
125,-40.1,-39.8,-1.2,2.5,286.7,0.1,0.00,0.9,51.464,,
126,-38.5,-40.0,0.4,2.5,286.6,0.1,0.00,1.3,51.870,,
127,-34.8,-37.8,4.1,2.5,286.6,0.1,0.00,1.3,52.291,,
128,-36.4,-36.6,2.5,2.5,286.8,0.1,0.00,0.8,52.696,,
129,-34.1,-35.1,4.8,2.5,286.7,0.1,0.00,1.4,53.102,,
130,-35.7,-35.4,3.2,2.5,286.7,0.1,0.00,1.3,53.508,,
131,-41.9,-37.2,-3.0,2.5,286.5,0.1,0.00,0.6,53.929,,
132,-37.3,-38.3,1.6,2.5,286.6,0.1,0.00,1.3,54.334,,
133,-39.9,-39.7,-1.1,2.5,286.6,0.1,0.00,1.3,54.756,,
134,-32.1,-36.4,6.8,2.5,286.7,0.1,0.00,1.4,55.177,,
135,-38.8,-37.0,0.0,2.6,286.8,0.1,0.00,0.2,55.598,,
136,-38.2,-36.4,0.7,2.6,286.5,0.1,0.00,0.9,56.019,,
137,-39.2,-38.7,-0.4,2.5,286.7,0.1,0.00,1.3,56.425,,
138,-40.6,-39.3,-1.8,2.5,286.8,0.1,0.00,1.3,56.846,,
139,-40.8,-40.2,-1.9,2.5,286.7,0.1,0.00,0.9,57.252,,
140,-36.0,-39.1,2.8,2.5,286.7,0.1,0.00,1.3,57.657,,
141,-39.6,-38.8,-0.7,2.5,286.6,0.1,0.00,1.4,58.078,,
142,-40.3,-38.6,-1.4,2.5,286.7,0.1,0.00,1.3,58.500,,
143,-40.5,-40.1,-1.6,2.5,286.6,0.1,0.00,0.6,58.921,,
144,-37.6,-39.5,1.2,2.5,286.6,0.1,0.00,1.2,59.326,,
145,-39.6,-39.2,-0.7,2.5,286.6,0.1,0.00,1.3,59.748,,
146,-38.3,-38.5,0.5,2.5,286.6,0.1,0.00,1.3,60.169,,
147,-40.3,-39.4,-1.4,2.5,286.5,0.1,0.00,-0.2,60.590,,
148,-39.6,-39.4,-0.7,2.5,286.5,0.1,0.00,0.8,61.011,,
149,-42.1,-40.7,-3.2,2.5,286.4,0.1,0.00,1.3,61.417,,
150,-42.1,-41.2,-3.2,2.5,286.6,0.1,0.00,1.3,61.838,,
151,-41.2,-41.8,-2.3,2.5,286.5,0.1,0.00,1.3,62.259,,
152,-40.5,-41.2,-1.6,2.5,286.4,0.1,0.00,0.6,62.680,,
153,-36.9,-39.5,1.9,2.5,286.6,0.1,0.00,1.3,63.086,,
154,-40.1,-39.2,-1.2,2.5,286.6,0.1,0.00,1.4,63.507,,
155,-39.4,-38.8,-0.5,2.5,286.5,0.1,0.00,1.4,63.928,,
156,-40.8,-40.1,-2.0,2.5,286.5,0.1,0.00,0.0,64.350,,
157,-44.6,-41.6,-5.7,2.5,286.5,0.1,0.00,1.0,64.771,,
158,-38.0,-41.1,0.9,2.5,286.4,0.1,0.00,1.3,65.176,,
159,-39.0,-40.5,-0.2,2.5,286.7,0.1,0.00,1.3,65.598,,
160,-35.5,-37.5,3.4,2.5,286.6,0.1,0.00,1.3,66.019,,
161,-39.0,-37.9,-0.2,2.5,286.6,0.1,0.00,0.7,66.440,,
162,-41.2,-38.6,-2.3,2.5,286.5,0.1,0.00,1.3,66.846,,
163,-37.6,-39.3,1.2,2.5,286.7,0.1,0.00,1.4,67.267,,
164,-37.8,-38.9,1.1,2.5,286.6,0.1,0.00,1.4,67.688,,
165,-38.0,-37.8,0.9,2.5,286.5,0.1,0.00,0.2,68.109,,
166,-39.0,-38.3,-0.2,2.5,286.6,0.1,0.00,0.9,68.530,,
167,-41.9,-39.6,-3.0,2.5,286.5,0.1,0.00,1.3,68.936,,
168,-38.9,-39.9,0.0,2.5,286.7,0.1,0.00,1.3,69.357,,
169,-39.7,-40.2,-0.9,2.5,286.7,0.1,0.00,-0.6,69.778,,
170,-37.4,-38.7,1.4,2.4,286.6,0.1,0.00,0.8,70.200,,
171,-35.3,-37.5,3.6,2.4,286.7,0.1,0.00,1.3,70.605,,
172,-37.5,-36.7,1.4,2.4,286.6,0.1,0.00,1.3,71.026,,
173,-41.7,-38.1,-2.8,2.4,286.8,0.1,0.00,1.4,71.448,,
174,-36.9,-38.7,1.9,2.4,286.6,0.1,0.00,0.3,71.869,,
175,-37.6,-38.7,1.3,2.4,286.7,0.1,0.00,1.0,72.290,,
176,-38.0,-37.5,0.9,2.4,286.6,0.1,0.00,1.3,72.696,,
177,-37.8,-37.8,1.1,2.4,286.8,0.1,0.00,1.3,73.117,,
178,-37.3,-37.7,1.6,2.4,286.4,0.1,0.00,-0.3,73.538,,
179,-32.5,-35.9,6.4,2.4,286.6,0.1,0.00,0.8,73.959,,
180,-39.2,-36.3,-0.3,2.5,286.8,0.1,0.00,1.3,74.365,,
181,-43.3,-38.3,-4.4,2.5,286.6,0.1,0.00,1.3,74.786,,
182,-37.8,-40.1,1.1,2.5,286.6,0.1,0.00,1.3,75.207,,
183,-34.8,-38.6,4.1,2.5,286.6,0.1,0.00,0.5,75.628,,
184,-36.7,-36.4,2.1,2.5,286.6,0.1,0.00,1.2,76.034,,
185,-35.3,-35.6,3.5,2.5,286.5,0.1,0.00,1.3,76.455,,
186,-36.2,-36.1,2.7,2.5,286.6,0.1,0.00,1.3,76.876,,
187,-37.4,-36.3,1.4,2.5,286.7,0.1,0.00,-0.3,77.298,,
188,-40.8,-38.2,-2.0,2.5,286.6,0.1,0.00,0.9,77.719,,
189,-39.0,-39.1,-0.2,2.5,286.6,0.1,0.00,1.3,78.124,,
190,-39.6,-39.8,-0.7,2.5,286.6,0.1,0.00,1.3,78.546,,
191,-38.5,-39.0,0.3,2.5,286.5,0.1,0.00,1.3,78.967,,
192,-39.9,-39.3,-1.1,2.5,286.6,0.1,0.00,0.6,79.388,,
193,-37.8,-38.8,1.0,2.5,286.5,0.1,0.00,1.3,79.794,,
194,-39.9,-39.2,-1.1,2.4,286.7,0.1,0.00,1.3,80.215,,
195,-40.8,-39.5,-2.0,2.4,286.6,0.1,0.00,1.3,80.636,,
196,-37.4,-39.4,1.4,2.4,286.7,0.1,0.00,-0.2,81.057,,
197,-34.1,-37.4,4.8,2.4,286.6,0.1,0.00,0.9,81.478,,
198,-33.0,-34.8,5.9,2.5,286.6,0.1,0.00,1.3,81.884,,
199,-40.7,-35.9,-1.8,2.5,286.4,0.1,0.00,1.3,82.305,,
200,-37.5,-37.0,1.4,2.5,286.5,0.1,0.00,1.3,82.726,,
201,-35.5,-37.9,3.4,2.5,286.5,0.1,0.00,0.5,83.148,,
202,-36.2,-36.4,2.7,2.5,286.6,0.1,0.00,1.3,83.553,,
203,-36.4,-36.0,2.5,2.5,286.5,0.1,0.00,1.4,83.974,,
204,-39.1,-37.2,-0.2,2.5,286.5,0.1,0.00,1.3,84.396,,
205,-35.5,-37.0,3.4,2.5,286.7,0.1,0.00,0.1,84.817,,
206,-43.1,-39.2,-4.3,2.5,286.5,0.1,0.00,0.9,85.238,,
207,-34.4,-37.7,4.4,2.5,286.7,0.1,0.00,1.3,85.644,,
208,-35.9,-37.8,3.0,2.5,286.5,0.1,0.00,1.3,86.065,,
209,-37.4,-35.9,1.4,2.5,286.7,0.1,0.00,1.3,86.486,,
210,-38.9,-37.4,0.0,2.5,286.6,0.1,0.00,0.7,86.907,,
211,-35.7,-37.3,3.2,2.5,286.6,0.1,0.00,1.3,87.313,,
212,-40.6,-38.4,-1.8,2.5,286.6,0.1,0.00,1.3,87.734,,
213,-37.5,-37.9,1.4,2.5,286.5,0.1,0.00,1.3,88.155,,
214,-35.5,-37.9,3.3,2.5,286.4,0.1,0.00,0.2,88.576,,
215,-37.5,-36.8,1.4,2.5,286.5,0.1,0.00,0.9,88.998,,
216,-38.5,-37.2,0.4,2.5,286.7,0.1,0.00,1.2,89.403,,
217,-44.0,-40.0,-5.2,2.5,286.5,0.1,0.00,1.3,89.824,,
218,-40.8,-41.1,-2.0,2.5,286.5,0.1,0.00,0.0,90.246,,
219,-34.8,-39.9,4.1,2.5,286.6,0.1,0.00,0.9,90.667,,
220,-37.5,-37.7,1.4,2.5,286.5,0.1,0.00,1.3,91.072,,
221,-36.2,-36.1,2.7,2.5,286.7,0.1,0.00,1.3,91.494,,
222,-39.9,-37.9,-1.1,2.5,286.6,0.1,0.00,1.3,91.915,,
223,-37.1,-37.7,1.8,2.5,286.6,0.1,0.00,0.3,92.336,,
224,-38.9,-38.6,0.0,2.5,286.6,0.1,0.00,1.1,92.757,,
225,-40.6,-38.9,-1.8,2.5,286.5,0.1,0.00,1.2,93.178,,
226,-43.1,-40.9,-4.3,2.5,286.5,0.1,0.00,1.3,93.600,,
227,-39.2,-41.0,-0.4,2.5,286.6,0.1,0.00,1.3,94.021,,
228,-41.7,-41.4,-2.8,2.5,286.7,0.1,0.00,1.3,94.442,,
229,-38.0,-39.6,0.9,2.5,286.6,0.1,0.00,0.6,94.863,,
