Point,WF (mV),WFRA (mV),WFDel (mV),Std WF,GD (au),Std GD,Z Height (um),User,Time(Secs),,
0,-514.9,-514.9,0.0,0.0,299.6,0.0,0.00,1.6,0.000,,
1,-517.6,-516.3,-2.7,0.0,299.8,0.0,0.00,1.4,0.561,,
2,-518.9,-516.7,-3.9,0.0,300.0,0.0,0.00,1.4,1.139,,
3,-510.3,-515.6,4.6,2.0,299.9,0.2,0.00,0.9,1.685,,
4,-514.3,-514.5,0.6,3.8,299.6,0.2,0.00,1.2,2.246,,
5,-516.0,-513.5,-1.0,3.3,299.9,0.2,0.00,1.4,2.808,,
6,-521.1,-517.1,-6.2,3.0,299.7,0.1,0.00,1.4,3.385,,
7,-519.6,-518.9,-4.7,3.5,299.8,0.1,0.00,1.3,3.962,,
8,-522.2,-521.0,-7.3,3.5,299.5,0.1,0.00,0.6,4.508,,
9,-515.3,-519.0,-0.4,3.7,299.7,0.2,0.00,1.2,5.070,,
10,-514.9,-517.5,0.0,3.6,299.8,0.2,0.00,1.4,5.631,,
11,-516.3,-515.5,-1.4,3.5,299.7,0.1,0.00,1.4,6.193,,
12,-514.9,-515.4,0.0,3.3,299.7,0.1,0.00,0.1,6.755,,
13,-517.9,-516.4,-3.0,3.2,299.5,0.1,0.00,1.3,7.301,,
14,-515.6,-516.1,-0.7,3.1,299.8,0.1,0.00,1.4,7.862,,
15,-518.8,-517.4,-3.8,3.0,299.7,0.1,0.00,1.4,8.439,,
16,-520.9,-518.4,-6.0,2.9,299.6,0.1,0.00,-0.4,8.985,,
17,-523.9,-521.2,-9.0,3.0,299.4,0.1,0.00,1.3,9.547,,
18,-514.4,-519.8,0.5,3.3,299.6,0.1,0.00,1.4,10.109,,
19,-509.5,-516.0,5.4,3.3,299.6,0.1,0.00,1.4,10.686,,
20,-511.6,-511.9,3.3,3.7,299.8,0.1,0.00,0.8,11.232,,
21,-516.4,-512.5,-1.5,3.8,299.6,0.1,0.00,1.3,11.778,,
22,-515.2,-514.4,-0.3,3.7,299.6,0.1,0.00,1.4,12.355,,
23,-512.6,-514.7,2.3,3.6,299.6,0.1,0.00,0.4,12.901,,
24,-517.1,-515.0,-2.2,3.6,299.6,0.1,0.00,1.2,13.463,,
25,-514.3,-514.7,0.6,3.5,299.6,0.1,0.00,1.4,14.009,,
26,-517.4,-516.3,-2.4,3.5,299.2,0.1,0.00,-0.6,14.555,,
27,-517.3,-516.3,-2.4,3.4,299.4,0.2,0.00,1.3,15.116,,
28,-517.2,-517.3,-2.2,3.4,299.6,0.2,0.00,1.3,15.693,,
29,-517.2,-517.2,-2.3,3.3,299.6,0.2,0.00,1.3,16.271,,
30,-512.5,-515.6,2.4,3.3,299.5,0.2,0.00,1.4,16.832,,
31,-517.9,-515.9,-3.0,3.3,299.5,0.2,0.00,1.4,17.409,,
32,-516.2,-515.5,-1.3,3.2,299.6,0.2,0.00,1.4,17.987,,
33,-511.9,-515.3,3.0,3.2,299.7,0.2,0.00,-0.7,18.533,,
34,-519.7,-515.9,-4.8,3.2,299.8,0.2,0.00,1.3,19.094,,
35,-515.3,-515.6,-0.4,3.2,299.5,0.2,0.00,1.3,19.671,,
36,-516.9,-517.3,-2.0,3.2,299.5,0.2,0.00,1.4,20.233,,
37,-513.5,-515.2,1.4,3.2,299.4,0.2,0.00,1.3,20.810,,
38,-519.6,-516.7,-4.7,3.1,299.5,0.2,0.00,1.3,21.387,,
39,-516.0,-516.4,-1.1,3.1,299.7,0.2,0.00,1.4,21.965,,
40,-516.0,-517.2,-1.0,3.1,299.4,0.2,0.00,1.4,22.542,,
41,-514.8,-515.6,0.1,3.1,299.4,0.2,0.00,-0.2,23.088,,
42,-514.3,-515.0,0.7,3.0,299.7,0.2,0.00,1.3,23.665,,
43,-516.1,-515.1,-1.2,3.0,299.3,0.2,0.00,1.3,24.227,,
44,-517.2,-515.9,-2.3,3.0,299.6,0.2,0.00,1.4,24.788,,
45,-514.5,-515.9,0.4,3.0,299.6,0.2,0.00,1.4,25.365,,
46,-514.9,-515.5,0.0,2.9,299.3,0.2,0.00,1.4,25.943,,
47,-516.9,-515.4,-1.9,2.9,299.4,0.2,0.00,1.4,26.520,,
48,-516.0,-515.9,-1.1,2.9,299.4,0.2,0.00,-0.5,27.066,,
